id,code,name
343,2433,互盛電
344,2434,統懋
345,2436,偉詮電
346,2438,翔耀
347,2439,美律
348,2440,太空梭
349,2441,超豐
350,2442,新美齊
351,2443,新利虹
352,2444,兆勁
353,2448,晶電
354,2449,京元電子
355,2450,神腦
356,2451,創見
357,2453,凌群
358,2454,聯發科
359,2455,全新
360,2456,奇力新
361,2457,飛宏
362,2458,義隆
363,2459,敦吉
364,2460,建通
365,2461,光群雷
366,2462,良得電
367,2464,盟立
368,2465,麗臺
369,2466,冠西電
370,2467,志聖
371,2468,華經
372,2471,資通
373,2472,立隆電
374,2474,可成
375,2476,鉅祥
376,2477,美隆電
377,2478,大毅
378,2480,敦陽科
379,2481,強茂
380,2482,連宇
381,2483,百容
382,2484,希華
383,2485,兆赫
384,2486,一詮
385,2488,漢平
386,2489,瑞軒
387,2491,吉祥全
388,2492,華新科
389,2493,揚博
390,2495,普安
391,2496,卓越
392,2497,怡利電
393,2498,宏達電
394,2499,東貝
395,2501,國建
396,2504,國產
397,2505,國揚
398,2506,太設
399,2509,全坤建
400,2511,太子
401,2514,龍邦
402,2515,中工
403,2516,新建
404,2520,冠德
405,2524,京城
406,2527,宏璟
407,2528,皇普
408,2530,華建
409,2534,宏盛
410,2535,達欣工
411,2536,宏普
412,2537,聯上發
413,2538,基泰
414,2539,櫻花建
415,2540,愛山林
416,2542,興富發
417,2543,皇昌
418,2545,皇翔
419,2546,根基
420,2547,日勝生
421,2548,華固
422,2597,潤弘
423,2601,益航
424,2603,長榮
425,2605,新興
426,2606,裕民
427,2607,榮運
428,2608,嘉里大榮
429,2609,陽明
430,2610,華航
431,2611,志信
432,2612,中航
433,2613,中櫃
434,2614,東森
435,2615,萬海
436,2616,山隆
437,2617,台航
438,2618,長榮航
439,2630,亞航
440,2633,台灣高鐵
441,2634,漢翔
442,2636,台驊投控
443,2637,慧洋-KY
444,2642,宅配通
445,2701,萬企
446,2702,華園
447,2704,國賓
448,2705,六福
449,2706,第一店
450,2707,晶華
451,2712,遠雄來
452,2722,夏都
453,2723,美食-KY
454,2727,王品
455,2731,雄獅
456,2739,寒舍
457,2748,雲品
458,2801,彰銀
459,2809,京城銀
460,2812,台中銀
461,2816,旺旺保
462,2820,華票
463,2823,中壽
464,2832,台產
465,2834,臺企銀
466,2836,高雄銀
467,2838,聯邦銀
468,2841,台開
469,2845,遠東銀
470,2849,安泰銀
471,2850,新產
472,2851,中再保
473,2852,第一保
474,2855,統一證
475,2867,三商壽
476,2880,華南金
477,2881,富邦金
478,2882,國泰金
479,2883,開發金
480,2884,玉山金
481,2885,元大金
482,2886,兆豐金
483,2887,台新金
484,2888,新光金
485,2889,國票金
486,2890,永豐金
487,2891,中信金
488,2892,第一金
489,2897,王道銀行
490,2901,欣欣
491,2903,遠百
492,2904,匯僑
493,2905,三商
494,2906,高林
495,2908,特力
496,2910,統領
497,2911,麗嬰房
498,2912,統一超
499,2913,農林
500,2915,潤泰全
501,2923,鼎固-KY
502,2929,淘帝-KY
503,2936,客思達-KY
504,2939,凱羿-KY
505,3002,歐格
506,3003,健和興
507,3004,豐達科
508,3005,神基
509,3006,晶豪科
510,3008,大立光
511,3010,華立
512,3011,今皓
513,3013,晟銘電
514,3014,聯陽
515,3015,全漢
516,3016,嘉晶
517,3017,奇鋐
518,3018,同開
519,3019,亞光
520,3021,鴻名
521,3022,威強電
522,3023,信邦
523,3024,憶聲
524,3025,星通
525,3026,禾伸堂
526,3027,盛達
527,3028,增你強
528,3029,零壹
529,3030,德律
530,3031,佰鴻
531,3032,偉訓
532,3033,威健
533,3034,聯詠
534,3035,智原
535,3036,文曄
536,3037,欣興
537,3038,全台
538,3040,遠見
539,3041,揚智
540,3042,晶技
541,3043,科風
542,3044,健鼎
543,3045,台灣大
544,3046,建碁
545,3047,訊舟
546,3048,益登
547,3049,和鑫
548,3050,鈺德
549,3051,力特
550,3052,夆典
551,3054,立萬利
552,3055,蔚華科
553,3056,總太
554,3057,喬鼎
555,3058,立德
556,3059,華晶科
557,3060,銘異
558,3062,建漢
559,3090,日電貿
560,3094,聯傑
561,3130,一零四
562,3149,正達
563,3164,景岳
564,3167,大量
565,3189,景碩
566,3209,全科
567,3229,晟鈦
568,3231,緯創
569,3257,虹冠電
570,3266,昇陽
571,3296,勝德
572,3305,昇貿
573,3308,聯德
574,3311,閎暉
575,3312,弘憶股
576,3321,同泰
577,3338,泰碩
578,3346,麗清
579,3356,奇偶
580,3376,新日興
581,3380,明泰
582,3383,新世紀
583,3406,玉晶光
584,3413,京鼎
585,3416,融程電
586,3419,譁裕
587,3432,台端
588,3437,榮創
589,3443,創意
590,3450,聯鈞
591,3454,晶睿
592,3481,群創
593,3494,誠研
594,3501,維熹
595,3504,揚明光
596,3515,華擎
597,3518,柏騰
598,3528,安馳
599,3530,晶相光
600,3532,台勝科
601,3533,嘉澤
602,3535,晶彩科
603,3536,誠創
604,3545,敦泰
605,3550,聯穎
606,3557,嘉威
607,3563,牧德
608,3576,聯合再生
609,3583,辛耘
610,3588,通嘉
611,3591,艾笛森
612,3593,力銘
613,3596,智易
614,3605,宏致
615,3607,谷崧
616,3617,碩天
617,3622,洋華
618,3645,達邁
619,3653,健策
620,3661,世芯-KY
621,3665,貿聯-KY
622,3669,圓展
623,3673,TPK-KY
624,3679,新至陞
625,3682,亞太電
626,3686,達能
627,3694,海華
628,3698,隆達
629,3701,大眾控
630,3702,大聯大
631,3703,欣陸
632,3704,合勤控
633,3705,永信
634,3706,神達
635,3708,上緯投控
636,3711,日月光投控
637,3712,永崴投控
638,4104,佳醫
639,4106,雃博
640,4108,懷特
641,4119,旭富
642,4133,亞諾法
643,4137,麗豐-KY
644,4141,龍燈-KY
645,4142,國光生
646,4144,康聯-KY
647,4148 ,全宇生技-KY
648,4155,訊映
649,4164,承業醫
650,4190,佐登-KY
651,4306,炎洲
652,4414,如興
653,4426,利勤
654,4438,廣越
655,4526,東台
656,4532,瑞智
657,4536,拓凱
658,4540,全球傳動
659,4545,銘鈺
660,4551,智伸科
661,4552,力達-KY
662,4555,氣立
663,4557,永新-KY
664,4560,強信-KY
665,4562,穎漢
666,4564,元翎
667,4566,時碩工業
668,4571,鈞興-KY
669,4572,駐龍
670,4576,大銀微系統
671,4720,德淵
672,4722,國精化
673,4725,信昌化
674,4737,華廣
675,4739,康普
676,4746,台耀
677,4755,三福化
678,4763,材料-KY
679,4764,雙鍵
680,4766,南寶
681,4807,日成-KY
682,4904,遠傳
683,4906,正文
684,4912,聯德控股-KY
685,4915,致伸
686,4916,事欣科
687,4919,新唐
688,4927,泰鼎-KY
689,4930,燦星網
690,4934,太極
691,4935,茂林-KY
692,4938,和碩
693,4942,嘉彰
694,4943,康控-KY
695,4952,凌通
696,4956,光鋐
697,4958,臻鼎-KY
698,4960,誠美材
699,4961,天鈺
700,4967,十銓
701,4968,立積
702,4976,佳凌
703,4977,眾達-KY
704,4989,榮科
705,4994,傳奇
706,4999,鑫禾
707,5007,三星
708,5203,訊連
709,5215,科嘉-KY
710,5225,東科-KY
711,5234,達興材料
712,5243,乙盛-KY
713,5258,虹堡
714,5259,奕智博
715,5264,鎧勝-KY
716,5269,祥碩
717,5283,禾聯碩
718,5284,jpp-KY
719,5285,界霖
720,5288,豐祥-KY
721,5305,敦南
722,5388,中磊
723,5434,崇越
724,5469,瀚宇博
725,5471,松翰
726,5484,慧友
727,5515,建國
728,5519,隆大
729,5521,工信
730,5522,遠雄
731,5525,順天
732,5531,鄉林
733,5533,皇鼎
734,5534,長虹
735,5538,東明-KY
736,5607,遠雄港
737,5608,四維航
738,5706,鳳凰
739,5871,中租-KY
740,5876,上海商銀
741,5880,合庫金
742,5906,台南-KY
743,5907,大洋-KY
744,6005,群益證
745,6024,群益期
746,6108,競國
747,6112,聚碩
748,6115,鎰勝
749,6116,彩晶
750,6117,迎廣
751,6120,達運
752,6128,上福
753,6131,悠克
754,6133,金橋
755,6136,富爾特
756,6139,亞翔
757,6141,柏承
758,6142,友勁
759,6152,百一
760,6153,嘉聯益
761,6155,鈞寶
762,6164,華興
763,6165,捷泰
764,6166,凌華
765,6168,宏齊
766,6172,互億
767,6176,瑞儀
768,6177,達麗
769,6183,關貿
770,6184,大豐電
771,6189,豐藝
772,6191,精成科
773,6192,巨路
774,6196,帆宣
775,6197,佳必琪
776,6201,亞弘電
777,6202,盛群
778,6205,詮欣
779,6206,飛捷
780,6209,今國光
781,6213,聯茂
782,6214,精誠
783,6215,和椿
784,6216,居易
785,6224,聚鼎
786,6225,天瀚
787,6226,光鼎
788,6230,超眾
789,6235,華孚
790,6239,力成
791,6243,迅杰
792,6251,定穎
793,6257,矽格
794,6269,台郡
795,6271,同欣電
796,6277,宏正
797,6278,台表科
798,6281,全國電
799,6282,康舒
800,6283,淳安
801,6285,啟碁
802,6288,聯嘉
803,6289,華上
804,6405,悅城
805,6409,旭隼
806,6412,群電
807,6414,樺漢
808,6415,矽力-KY
809,6416,瑞祺電通
810,6431,光麗-KY
811,6442,光聖
812,6443,元晶
813,6449,鈺邦
814,6451,訊芯-KY
815,6452,康友-KY
816,6456,GIS-KY
817,6464,台數科
818,6477,安集
819,6491,晶碩
820,6504,南六
821,6505,台塑化
822,6525,捷敏-KY
823,6531,愛普
824,6533,晶心科
825,6541,泰福-KY
826,6552,易華電
827,6558,興能高
828,6573,虹揚-KY
829,6579,研揚
830,6581,鋼聯
831,6582,申豐
832,6591,動力-KY
833,6605,帝寶
834,6625,必應
835,6641,基士德-KY
836,6655,科定
837,6666,羅麗芬-KY
838,6668,中揚光
839,6669,緯穎
840,6670,復盛應用
841,6671,三能-KY
842,6672,騰輝電子-KY
843,6674,鋐寶科技
844,8011,台通
845,8016,矽創
846,8021,尖點
847,8028,昇陽半導體
848,8033,雷虎
849,8039,台虹
850,8046,南電
851,8070,長華
852,8072,陞泰
853,8081,致新
854,8101,華冠
